 0, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15
gl,is,sj,no,se,ax,fi,ee,by,ru,ge,uz,kg,kz,mn,kp
ca,ie,gg,fo,dk,de,pl,lv,ro,ua,am,tm,tj,cn,tw,kr
pm,im,  ,nl,li,cz,sk,lt,bg,md,tr,az,bt,mo,hk,jp
us,gb,je,be,ch,at,hu,rs,kw,iq,ir,np,mm,la,vn,ph
bm,fr,mc,lu,  ,si,ba,xk,lb,bh,qa,af,th,my,sg,bn
mx,pt,ad,va,sm,hr,al,mk,ps,sy,sa,ae,pk,bd,kh,id
gt,gi,es,it,mt,me,gr,cy,il,jo,ye,om,in,lk,cc,um
sv,bz,cu,pr,vi,sx,eh,ma,dz,tn,ly,sd,eg,cx,tl,tk
ni,hn,tc,bs,vg,ms,mr,ml,ne,er,dj,ss,so,gu,mp,ws
cr,  ,jm,ht,ag,gp,sh,gn,bf,tg,ke,et,mv,pw,fm,as
pa,ky,  ,do,kn,dm,cv,sl,gh,bj,ug,sc,io,tv,mh,nu
mf,aw,cw,ai,bl,mq,sn,lr,ng,td,rw,mu,re,wf,nr,to
co,ve,bq,tt,  ,lc,gm,ci,cm,cf,bi,km,mg,pg,ki,sb
ec,bo,br,gy,  ,bb,gw,gq,ga,cd,mw,yt,au,nf,vu,pf
pe,py,uy,sr,vc,gd,bw,st,cg,ao,zm,tz,hm,nz,fj,ck
cl,ar,fk,gf,gs,na,za,ls,sz,zw,mz,bv,aq,tf,nc,pn
